Time - Voltage	Amplitude - Voltage
1598	-0,0196936
1599	-0,0184584
1600	-0,0183032
1601	-0,018496
1602	-0,0186986
1603	-0,0193325
1604	-0,0195074
1605	-0,0193685
1606	-0,0190172
1607	-0,018844
1608	-0,0188881
1609	-0,0189355
1610	-0,0186267
1611	-0,0182427
1612	-0,0180336
1613	-0,0176774
1614	-0,0171431
1615	-0,0164291
1616	-0,0156253
1617	-0,015524
1618	-0,0152315
1619	-0,0149848
1620	-0,0147789
1621	-0,0149161
1622	-0,0149897
1623	-0,0153344
1624	-0,015586
1625	-0,0158164
1626	-0,0161399
1627	-0,0163458
1628	-0,016599
1629	-0,0164749
1630	-0,0163246
1631	-0,0168735
1632	-0,0172003
1633	-0,0178245
1634	-0,0182591
1635	-0,0186153
